game_id,move_number,player,from_row,from_col,to_row,to_col,piece_type,captures,promotion,classification,move_score,outcome_contribution,timestamp
4e507452,1,white,6,5,5,4,pion,,False,opening,9.5,positive,2025-04-26 16:04:10
4e507452,2,black,3,4,4,5,pion,,False,opening,9.5,negative,2025-04-26 16:04:10
4e507452,3,white,7,6,6,5,pion,,False,opening,9.5,positive,2025-04-26 16:04:12
4e507452,4,black,3,2,4,3,pion,,False,opening,8.5,negative,2025-04-26 16:04:13
4e507452,5,white,5,4,3,2,pion,"4,3",False,capture,17.5,positive,2025-04-26 16:04:17
4e507452,6,black,2,1,4,3,pion,"3,2",False,capture,18.5,negative,2025-04-26 16:04:17
4e507452,7,white,8,5,7,6,pion,,False,opening,8.5,positive,2025-04-26 16:04:19
4e507452,8,black,4,5,5,4,pion,,False,opening,9.5,negative,2025-04-26 16:04:19
4e507452,9,white,6,3,4,5,pion,"5,4",False,capture,19.5,positive,2025-04-26 16:04:22
4e507452,10,black,3,6,5,4,pion,"4,5",False,capture,19.5,negative,2025-04-26 16:04:22
4e507452,11,white,6,1,5,0,pion,,False,middle_game,7.5,positive,2025-04-26 16:04:30
4e507452,12,black,3,8,4,7,pion,,False,middle_game,8.5,negative,2025-04-26 16:04:31
4e507452,13,white,6,9,5,8,pion,,False,middle_game,8.5,positive,2025-04-26 16:04:50
4e507452,14,black,4,7,6,9,pion,"5,8",False,capture,17.5,negative,2025-04-26 16:04:50
4e507452,15,white,6,7,5,6,pion,,False,middle_game,9.5,positive,2025-04-26 16:04:52
4e507452,16,black,2,7,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 16:04:53
4e507452,17,white,7,2,6,3,pion,,False,middle_game,8.5,positive,2025-04-26 16:04:59
4e507452,18,black,5,4,7,2,pion,"6,3",False,capture,17.5,negative,2025-04-26 16:04:59
4e507452,19,white,8,1,6,3,pion,"7,2",False,capture,18.5,positive,2025-04-26 16:05:02
4e507452,20,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 16:05:02
4e507452,21,white,5,6,5,2,pion,"4,5;4,3",False,multiple_capture,28.5,positive,2025-04-26 16:05:08
4e507452,22,black,2,3,3,4,pion,,False,middle_game,8.5,negative,2025-04-26 16:05:08
4e507452,23,white,6,5,5,6,pion,,False,middle_game,9.5,positive,2025-04-26 16:05:10
4e507452,24,black,3,4,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 16:05:10
4e507452,25,white,5,6,3,4,pion,"4,5",False,capture,18.5,positive,2025-04-26 16:05:11
4e507452,26,black,2,5,6,1,pion,"3,4;5,2",False,multiple_capture,27.5,negative,2025-04-26 16:05:12
4e507452,27,white,7,0,5,2,pion,"6,1",False,capture,18.5,positive,2025-04-26 16:05:14
4e507452,28,black,1,4,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 16:05:14
4e507452,29,white,6,3,5,4,pion,,False,middle_game,9.5,positive,2025-04-26 16:05:15
4e507452,30,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 16:05:16
4e507452,31,white,7,6,6,7,pion,,False,middle_game,8.5,positive,2025-04-26 16:05:17
4e507452,32,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 16:05:17
4e507452,33,white,5,4,3,6,pion,"4,5",False,capture,18.5,positive,2025-04-26 16:05:19
4e507452,34,black,1,6,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 16:05:19
4e507452,35,white,3,6,1,4,pion,"2,5",False,capture,17.5,positive,2025-04-26 16:05:21
4e507452,36,black,0,3,2,5,pion,"1,4",False,capture,18.5,negative,2025-04-26 16:05:22
4e507452,37,white,7,4,6,5,pion,,False,middle_game,9.5,positive,2025-04-26 16:05:23
4e507452,38,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 16:05:24
