game_id,move_number,player,from_row,from_col,to_row,to_col,piece_type,captures,promotion,classification,move_score,outcome_contribution,timestamp
8cc0b5ad,1,white,6,3,5,2,pion,,False,opening,8.5,positive,2025-04-26 15:35:54
8cc0b5ad,2,black,3,4,4,5,pion,,False,opening,9.5,negative,2025-04-26 15:35:54
8cc0b5ad,3,white,6,7,5,8,pion,,False,opening,8.5,positive,2025-04-26 15:36:03
8cc0b5ad,4,black,4,5,5,4,pion,,False,opening,9.5,negative,2025-04-26 15:36:04
8cc0b5ad,5,white,6,5,4,3,pion,"5,4",False,capture,18.5,positive,2025-04-26 15:36:07
8cc0b5ad,6,black,3,2,5,4,pion,"4,3",False,capture,19.5,negative,2025-04-26 15:36:07
8cc0b5ad,7,white,7,4,6,3,pion,,False,opening,8.5,positive,2025-04-26 15:36:09
8cc0b5ad,8,black,5,4,6,5,pion,,False,opening,9.5,negative,2025-04-26 15:36:09
8cc0b5ad,9,white,7,6,5,4,pion,"6,5",False,capture,19.5,positive,2025-04-26 15:36:16
8cc0b5ad,10,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:36:16
8cc0b5ad,11,white,5,4,3,6,pion,"4,5",False,capture,18.5,positive,2025-04-26 15:36:21
8cc0b5ad,12,black,2,7,4,5,pion,"3,6",False,capture,19.5,negative,2025-04-26 15:36:21
8cc0b5ad,13,white,6,3,5,4,pion,,False,middle_game,9.5,positive,2025-04-26 15:36:30
8cc0b5ad,14,black,4,5,4,1,pion,"5,4;5,2",False,multiple_capture,27.5,negative,2025-04-26 15:36:31
8cc0b5ad,15,white,6,1,5,2,pion,,False,middle_game,8.5,positive,2025-04-26 15:36:38
8cc0b5ad,16,black,4,1,6,3,pion,"5,2",False,capture,18.5,negative,2025-04-26 15:36:39
8cc0b5ad,17,white,7,2,5,4,pion,"6,3",False,capture,19.5,positive,2025-04-26 15:36:43
8cc0b5ad,18,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:36:44
8cc0b5ad,19,white,5,8,4,7,pion,,False,middle_game,8.5,positive,2025-04-26 15:36:45
8cc0b5ad,20,black,3,8,5,6,pion,"4,7",False,capture,19.5,negative,2025-04-26 15:36:46
8cc0b5ad,21,white,8,5,7,4,pion,,False,middle_game,8.5,positive,2025-04-26 15:36:48
8cc0b5ad,22,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:36:48
8cc0b5ad,23,white,5,4,3,6,pion,"4,5",False,capture,18.5,positive,2025-04-26 15:36:50
8cc0b5ad,24,black,5,6,6,7,pion,,False,middle_game,8.5,negative,2025-04-26 15:36:50
8cc0b5ad,25,white,7,8,5,6,pion,"6,7",False,capture,19.5,positive,2025-04-26 15:36:52
8cc0b5ad,26,black,3,0,4,1,pion,,False,middle_game,7.5,negative,2025-04-26 15:36:52
8cc0b5ad,27,white,7,4,6,3,pion,,False,middle_game,8.5,positive,2025-04-26 15:36:55
8cc0b5ad,28,black,4,1,5,2,pion,,False,middle_game,8.5,negative,2025-04-26 15:36:56
8cc0b5ad,29,white,6,3,4,1,pion,"5,2",False,capture,17.5,positive,2025-04-26 15:36:57
8cc0b5ad,30,black,2,3,3,4,pion,,False,middle_game,8.5,negative,2025-04-26 15:36:57
8cc0b5ad,31,white,8,3,7,4,pion,,False,middle_game,8.5,positive,2025-04-26 15:37:00
8cc0b5ad,32,black,3,4,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:37:00
8cc0b5ad,33,white,5,6,3,4,pion,"4,5",False,capture,18.5,positive,2025-04-26 15:37:05
8cc0b5ad,34,black,1,6,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 15:37:05
