game_id,move_number,player,from_row,from_col,to_row,to_col,piece_type,captures,promotion,classification,move_score,outcome_contribution,timestamp
d30fdcc5,1,white,6,9,5,8,pion,,False,opening,8.5,positive,2025-04-26 15:43:58
d30fdcc5,2,black,3,6,4,5,pion,,False,opening,9.5,negative,2025-04-26 15:43:59
d30fdcc5,3,white,6,1,5,2,pion,,False,opening,8.5,positive,2025-04-26 15:44:00
d30fdcc5,4,black,4,5,5,4,pion,,False,opening,9.5,negative,2025-04-26 15:44:01
d30fdcc5,5,white,6,3,4,5,pion,"5,4",False,capture,19.5,positive,2025-04-26 15:44:02
d30fdcc5,6,black,3,4,5,6,pion,"4,5",False,capture,19.5,negative,2025-04-26 15:44:03
d30fdcc5,7,white,6,7,4,5,pion,"5,6",False,capture,19.5,positive,2025-04-26 15:44:04
d30fdcc5,8,black,3,2,4,3,pion,,False,opening,8.5,negative,2025-04-26 15:44:04
d30fdcc5,9,white,5,2,3,4,pion,"4,3",False,capture,18.5,positive,2025-04-26 15:44:06
d30fdcc5,10,black,2,5,4,3,pion,"3,4",False,capture,18.5,negative,2025-04-26 15:44:07
d30fdcc5,11,white,7,2,6,1,pion,,False,middle_game,7.5,positive,2025-04-26 15:44:09
d30fdcc5,12,black,3,8,4,7,pion,,False,middle_game,8.5,negative,2025-04-26 15:44:09
d30fdcc5,13,white,5,8,3,6,pion,"4,7",False,capture,18.5,positive,2025-04-26 15:44:13
d30fdcc5,14,black,1,6,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 15:44:14
d30fdcc5,15,white,7,4,6,3,pion,,False,middle_game,8.5,positive,2025-04-26 15:44:23
d30fdcc5,16,black,2,5,4,7,pion,"3,6",False,capture,18.5,negative,2025-04-26 15:44:24
d30fdcc5,17,white,7,6,6,7,pion,,False,middle_game,8.5,positive,2025-04-26 15:44:26
d30fdcc5,18,black,2,7,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:44:27
d30fdcc5,19,white,4,5,2,7,pion,"3,6",False,capture,17.5,positive,2025-04-26 15:44:28
d30fdcc5,20,black,1,8,3,6,pion,"2,7",False,capture,18.5,negative,2025-04-26 15:44:29
d30fdcc5,21,white,7,8,6,9,pion,,False,middle_game,7.5,positive,2025-04-26 15:44:32
d30fdcc5,22,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:44:33
d30fdcc5,23,white,6,1,5,0,pion,,False,middle_game,7.5,positive,2025-04-26 15:44:36
d30fdcc5,24,black,4,5,5,4,pion,,False,middle_game,9.5,negative,2025-04-26 15:44:36
d30fdcc5,25,white,6,3,4,5,pion,"5,4",False,capture,19.5,positive,2025-04-26 15:44:38
d30fdcc5,26,black,2,3,3,4,pion,,False,middle_game,8.5,negative,2025-04-26 15:44:38
d30fdcc5,27,white,4,5,2,3,pion,"3,4",False,capture,17.5,positive,2025-04-26 15:44:40
d30fdcc5,28,black,1,2,3,4,pion,"2,3",False,capture,18.5,negative,2025-04-26 15:44:40
d30fdcc5,29,white,7,0,6,1,pion,,False,middle_game,7.5,positive,2025-04-26 15:44:42
d30fdcc5,30,black,3,4,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:44:43
d30fdcc5,31,white,8,3,7,2,pion,,False,middle_game,7.5,positive,2025-04-26 15:44:44
d30fdcc5,32,black,4,5,5,4,pion,,False,middle_game,9.5,negative,2025-04-26 15:44:44
d30fdcc5,33,white,6,1,5,2,pion,,False,middle_game,8.5,positive,2025-04-26 15:44:47
d30fdcc5,34,black,5,4,5,8,pion,"6,5;6,7",False,multiple_capture,28.5,negative,2025-04-26 15:44:47
d30fdcc5,35,white,5,2,3,4,pion,"4,3",False,capture,18.5,positive,2025-04-26 15:44:49
d30fdcc5,36,black,3,0,4,1,pion,,False,middle_game,7.5,negative,2025-04-26 15:44:50
d30fdcc5,37,white,5,0,3,2,pion,"4,1",False,capture,17.5,positive,2025-04-26 15:44:52
d30fdcc5,38,black,2,1,2,5,pion,"3,2;3,4",False,multiple_capture,28.5,negative,2025-04-26 15:44:53
d30fdcc5,39,white,8,7,7,6,pion,,False,middle_game,8.5,positive,2025-04-26 15:44:55
d30fdcc5,40,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:44:56
d30fdcc5,41,white,7,6,6,5,pion,,False,middle_game,9.5,positive,2025-04-26 15:44:58
d30fdcc5,42,black,3,6,4,5,pion,,False,middle_game,9.5,negative,2025-04-26 15:44:59
d30fdcc5,43,white,7,2,6,3,pion,,False,middle_game,8.5,positive,2025-04-26 15:45:00
d30fdcc5,44,black,4,5,5,4,pion,,False,middle_game,9.5,negative,2025-04-26 15:45:01
d30fdcc5,45,white,6,5,4,3,pion,"5,4",False,capture,18.5,positive,2025-04-26 15:45:03
d30fdcc5,46,black,2,9,3,8,pion,,False,middle_game,7.5,negative,2025-04-26 15:45:03
d30fdcc5,47,white,6,3,5,4,pion,,False,middle_game,9.5,positive,2025-04-26 15:45:04
d30fdcc5,48,black,5,8,6,7,pion,,False,middle_game,8.5,negative,2025-04-26 15:45:05
d30fdcc5,49,white,9,6,8,7,pion,,False,middle_game,7.5,positive,2025-04-26 15:45:07
d30fdcc5,50,black,1,4,2,5,pion,,False,middle_game,8.5,negative,2025-04-26 15:45:08
d30fdcc5,51,white,5,4,4,5,pion,,False,middle_game,9.5,positive,2025-04-26 15:45:09
d30fdcc5,52,black,2,5,3,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:45:10
d30fdcc5,53,white,4,5,4,9,pion,"3,6;3,8",False,multiple_capture,27.5,positive,2025-04-26 15:45:12
d30fdcc5,54,black,6,7,7,6,pion,,False,middle_game,8.5,negative,2025-04-26 15:45:12
